,seq_num,time,huber_eta,huber_eta_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_eta,ts_huber_eta_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
28,29,1782777157.6026008,0.0002204238000000358,0.4361169378974359,64.0,1277394.0,95832.0,1782777157.551528,1782777156.71817,1782777155.732084,1782777155.733039,1782777155.731931
29,30,1782777158.5601366,0.0002172394000000133,0.4873989891794872,57.0,1279606.0,96342.0,1782777158.497736,1782777157.65894,1782777157.648986,1782777157.649689,1782777157.648884
30,31,1782777159.4783754,0.0002200886000000013,0.5386810404615383,57.0,1279606.0,96342.0,1782777159.449368,1782777158.613678,1782777157.648986,1782777157.649689,1782777157.648884
31,32,1782777160.4292624,0.0002179098000000268,0.5899630917435896,74.0,1272611.0,95989.0,1782777160.393848,1782777159.556274,1782777159.533215,1782777159.534582,1782777159.533153
32,33,1782777161.3585823,0.0002174070000000028,0.641245143025641,74.0,1272611.0,95989.0,1782777161.326799,1782777160.490617,1782777159.533215,1782777159.534582,1782777159.533153
33,34,1782777162.2895763,0.00021866400000003505,0.6925271943076923,66.0,1272344.0,96310.0,1782777162.2523,1782777161.415395,1782777161.422597,1782777161.42323,1782777161.422551
34,35,1782777163.2387145,0.0002200886000000013,0.7438092455897436,66.0,1272344.0,96310.0,1782777163.102029,1782777162.358216,1782777161.422597,1782777161.42323,1782777161.422551
35,37,1782777165.184813,0.00021615000000002604,0.846373348153846,74.0,1268923.0,96404.0,1782777165.133081,1782777164.283539,1782777163.283181,1782777163.284203,1782777163.283145
36,39,1782777167.0844004,0.0002202562000000463,0.9489374507179487,61.0,1271731.0,96329.0,1782777167.017386,1782777166.182004,1782777165.180246,1782777165.181149,1782777165.180113
37,36,1782777164.1908104,0.0002205914000000253,0.7950912968717947,74.0,1268923.0,96404.0,1782777164.145002,1782777163.306269,1782777163.283181,1782777163.284203,1782777163.283145
38,38,1782777166.1246157,0.0002180774000000163,0.8976553994358973,61.0,1271731.0,96329.0,1782777166.084121,1782777165.251141,1782777165.180246,1782777165.181149,1782777165.180113
39,40,1782777168.050778,0.00021849640000004555,1.000219502,65.0,1276030.0,96832.0,1782777167.974538,1782777167.1376,1782777167.116482,1782777167.117432,1782777167.116315
