,seq_num,time,huber_eta,huber_eta_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_eta,ts_huber_eta_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
28,13,1782777193.819911,-0.384519287,-0.38439940221538443,23.0,1235555.0,27234.0,1782777193.812937,1782777192.855436,1782777193.775385,1782777193.776336,1782777193.775332
29,15,1782777195.9308066,-0.2819678638,-0.281835299651282,31.0,1237134.0,34571.0,1782777195.926236,1782777194.965005,1782777195.884693,1782777195.885617,1782777195.884707
30,17,1782777197.9892054,-0.179373116,-0.17927119708717937,32.0,1245003.0,46183.0,1782777197.982404,1782777197.022054,1782777197.974906,1782777197.977107,1782777197.97441
31,19,1782777200.0206265,-0.07683920699999996,-0.07670709452307695,33.0,1252562.0,53669.0,1782777200.01389,1782777199.060761,1782777199.006542,1782777199.008586,1782777199.00616
32,21,1782777202.0658937,0.0255487224,0.025857008041025642,66.0,1289885.0,86625.0,1782777202.061183,1782777201.0998,1782777202.055282,1782777202.056401,1782777202.055202
33,23,1782777204.0931437,0.12829439400000003,0.12842111060512829,75.0,1305330.0,120135.0,1782777204.084701,1782777203.130964,1782777204.089383,1782777203.085689,1782777204.089107
34,25,1782777206.1530986,0.2308562922,0.23098521316923093,108.0,1369166.0,163794.0,1782777206.132986,1782777205.174994,1782777206.131015,1782777206.13354,1782777206.130476
35,27,1782777208.2481763,0.33347500680000003,0.33354931573333335,108.0,1427748.0,221935.0,1782777208.199087,1782777207.216223,1782777208.1843,1782777208.186386,1782777208.183444
36,1,1782777180.392723,-1.0002369378,-0.9997840175999999,65.0,1276030.0,96832.0,1782777180.137145,1782777176.724374,1782777167.116482,1782777167.117432,1782777167.116315
37,4,1782777184.3538954,-0.8462485717999999,-0.8459378637538462,20.0,1218086.0,15304.0,1782777184.342288,1782777183.372761,1782777184.332063,1782777184.332906,1782777184.331956
38,31,1782777212.4459052,0.538581708,0.5386775208615384,206.0,1572524.0,376252.0,1782777212.440293,1782777211.483864,1782777212.42848,1782777212.430974,1782777212.428357
39,29,1782777210.3966026,0.4360525756,0.436113418297436,189.0,1498637.0,292942.0,1782777210.320357,1782777209.362065,1782777210.308197,1782777210.310794,1782777210.308297
